,time,open,high,low,close,MA,Histogram,MACD,Signal,RSI,RSI-based MA
9165,2020-11-10 10:00:00+07:00,959.73,959.74,955.41,957.44,941.3295506,1.803749683,4.848396087,3.044646404,69.3632228,58.88831764
9166,2020-11-10 11:00:00+07:00,957.53,958.33,957.04,958.29,941.4931461,1.813973699,5.312113527,3.498139829,70.04267746,59.68426436
9167,2020-11-10 13:00:00+07:00,958.47,961.01,957.95,961.01,941.6982022,1.866982588,5.831868063,3.964885475,72.16969028,61.18471597
9168,2020-11-10 14:00:00+07:00,960.88,961.11,951.9,951.9,941.8047191,1.184811199,5.445899474,4.261088275,57.4555942,61.45889583
9169,2020-11-11 09:00:00+07:00,954.46,955.0,952.68,954.7,941.9258427,0.834971557,5.304802722,4.469831164,60.14517149,62.10876273
9170,2020-11-11 10:00:00+07:00,953.65,956.21,952.99,956.21,942.0411236,0.627542334,5.254259081,4.626716748,61.5566253,63.00185543
9171,2020-11-11 11:00:00+07:00,956.06,956.65,953.33,953.84,942.1658427,0.271204152,4.965721938,4.694517786,58.07992047,63.56150611
9172,2020-11-11 13:00:00+07:00,954.18,954.85,949.26,950.39,942.2455056,-0.229328649,4.407856974,4.637185623,53.35570884,63.67254734
9173,2020-11-11 14:00:00+07:00,950.84,954.2,947.61,952.22,942.3292135,-0.456521137,4.066534202,4.523055339,55.42677543,63.35830902
9174,2020-11-12 09:00:00+07:00,953.97,957.29,953.62,957.29,942.4566292,-0.292669671,4.157218251,4.449887922,60.64090927,63.2451779
9175,2020-11-12 10:00:00+07:00,957.02,958.55,956.57,957.52,942.5913483,-0.200519235,4.199238878,4.399758113,60.86456645,63.07331658
9176,2020-11-12 11:00:00+07:00,957.51,957.51,955.03,955.9,942.7383146,-0.275745947,4.055075679,4.330821626,58.34951493,62.81962172
9177,2020-11-12 13:00:00+07:00,956.37,957.71,954.82,957.45,942.8929213,-0.24900743,4.019562339,4.268569769,60.05047959,62.26563068
9178,2020-11-12 14:00:00+07:00,957.46,959.28,956.88,959.28,943.1092135,-0.141324276,4.091914424,4.2332387,62.02247525,61.3945237
9179,2020-11-13 09:00:00+07:00,959.56,962.28,959.13,961.37,943.3329213,0.02836318,4.268692674,4.240329495,64.19619453,61.02545025
9180,2020-11-13 10:00:00+07:00,961.62,962.12,960.53,961.15,943.5532584,0.080534984,4.340998224,4.260463241,63.78234888,60.57828392
9181,2020-11-13 11:00:00+07:00,961.05,962.54,960.82,962.46,943.8052809,0.153772793,4.452679231,4.298906439,65.2201223,60.08188621
9182,2020-11-13 13:00:00+07:00,962.49,964.09,962.39,963.88,944.0239326,0.243044582,4.602712166,4.359667584,66.76049716,60.74652214
9183,2020-11-13 14:00:00+07:00,963.93,966.29,963.93,966.29,944.2307865,0.400311923,4.860057488,4.459745565,69.24970436,61.39684591
9184,2020-11-16 09:00:00+07:00,970.11,972.98,968.53,968.53,944.4835955,0.580191952,5.184985505,4.604793553,71.39397548,62.09951378
9185,2020-11-16 10:00:00+07:00,968.32,969.35,962.18,965.34,944.7253933,0.416963277,5.125997649,4.709034372,64.49644648,62.55783707
9186,2020-11-16 11:00:00+07:00,965.23,965.29,958.47,958.47,944.8740449,-0.188561917,4.473331976,4.661893893,52.69018429,62.5102996
9187,2020-11-16 13:00:00+07:00,958.79,966.72,958.79,963.23,945.1459551,-0.296938166,4.290721185,4.587659351,58.37556886,62.7209277
9188,2020-11-16 14:00:00+07:00,963.09,963.86,950.5,950.79,945.2821348,-1.185016863,3.106388272,4.291405136,43.62161447,61.50526379
9189,2020-11-17 09:00:00+07:00,955.52,956.07,953.22,954.6,945.4996629,-1.475505466,2.447023303,3.922528769,47.95977626,60.58349306
9190,2020-11-17 10:00:00+07:00,954.95,957.25,954.95,955.97,945.7157303,-1.528560406,2.011828261,3.540388668,49.46555407,59.94892443
9191,2020-11-17 11:00:00+07:00,955.81,957.45,955.73,957.16,945.908427,-1.43801858,1.742865442,3.180884022,50.79730111,59.28798311
9192,2020-11-17 13:00:00+07:00,957.56,961.62,956.4,961.62,946.0401124,-1.05025814,1.868061348,2.918319488,55.52768661,58.82406963
9193,2020-11-17 14:00:00+07:00,961.43,968.9,961.4,968.9,946.1679775,-0.31417431,2.525601601,2.83977591,61.95698702,58.66412624
9194,2020-11-18 09:00:00+07:00,969.48,972.92,966.32,970.86,946.3204494,0.262851238,3.168339957,2.90548872,63.48745916,58.64306269
9195,2020-11-18 10:00:00+07:00,970.71,972.19,968.54,970.2,946.4667416,0.542132131,3.583153883,3.041021752,62.574564,58.45409424
9196,2020-11-18 11:00:00+07:00,970.1,972.26,969.24,971.91,946.6167416,0.770164313,4.003727143,3.233562831,64.01818401,58.25821473
9197,2020-11-18 13:00:00+07:00,971.95,972.57,967.0,971.69,946.7339326,0.82919752,4.27005973,3.44086221,63.67786534,57.86022622
9198,2020-11-18 14:00:00+07:00,972.4,974.3,968.23,973.53,946.7880899,0.908785303,4.576843839,3.668058536,65.33753514,57.42762334
