,time,open,high,low,close,Volume,Volume MA,MA,Histogram,MACD,Signal,RSI,RSI-based MA
210,2008-03-19 01:30:00+07:00,1310.09,1312.15,1307.84,1310.31,233,216.25,1329.853708,2.970628792,-4.511260898,-7.48188969,55.33406987,43.60614853
211,2008-03-19 02:30:00+07:00,1310.34,1313.63,1310.31,1312.23,157,216.15,1329.317528,3.866897213,-2.648268173,-6.515165386,56.06697859,44.37464541
212,2008-03-19 23:30:00+07:00,1330.97,1341.51,1330.97,1331.72,239,216.25,1329.089663,5.529155542,0.396279041,-5.132876501,62.74898531,45.57892642
213,2008-03-20 00:30:00+07:00,1331.96,1336.81,1325.97,1336.14,237,216.2,1328.987416,6.610048918,3.129684647,-3.480364271,64.08314925,46.75024784
214,2008-03-20 01:30:00+07:00,1336.34,1337.19,1327.17,1327.67,236,216.55,1328.817303,6.432216463,4.559906308,-1.872310155,59.67260755,47.85988323
215,2008-03-20 02:30:00+07:00,1327.63,1328.23,1321.31,1324.41,157,216.65,1328.649326,5.79259102,5.36842862,-0.4241624,58.01750092,48.98503578
216,2008-03-20 23:30:00+07:00,1299.67,1310.81,1295.22,1309.12,237,216.6,1328.314719,4.116123919,4.720992499,0.60486858,50.8882623,49.53295422
217,2008-03-21 00:30:00+07:00,1308.5,1315.52,1307.4,1315.12,238,216.6,1327.804382,3.226964313,4.638573971,1.411609658,53.31270166,50.42866885
218,2008-03-21 01:30:00+07:00,1315.42,1315.59,1307.19,1308.64,237,216.55,1327.288652,2.074085658,4.004216731,1.930131072,50.41789746,51.36825287
219,2008-03-21 02:30:00+07:00,1309.04,1311.26,1305.47,1309.95,157,216.45,1326.722135,1.308761158,3.56608252,2.257321362,50.99718014,52.50214034
220,2008-03-24 23:30:00+07:00,1330.29,1352.7,1330.29,1349.73,237,216.45,1326.62,3.278550265,6.355509193,3.076958928,64.54391329,54.84040364
221,2008-03-25 00:30:00+07:00,1349.31,1355.69,1349.31,1353.61,233,216.5,1326.750674,4.560869381,8.778045655,4.217176274,65.54443051,57.13459681
222,2008-03-25 01:30:00+07:00,1353.43,1357.21,1352.75,1355.99,232,216.35,1326.896292,5.2389527,10.76586715,5.526914449,66.17495515,58.08374574
223,2008-03-25 02:30:00+07:00,1356.01,1359.68,1355.39,1357.27,157,216.25,1326.959438,5.420626416,12.30269747,6.882071053,66.52970309,58.88088108
224,2008-03-25 23:30:00+07:00,1349.07,1354.8,1341.21,1344.02,238,216.25,1326.828652,4.342011214,12.30958507,7.967573856,59.56556511,59.18313074
225,2008-03-26 00:30:00+07:00,1344.57,1350.14,1342.06,1349.22,237,216.35,1326.695618,3.697553701,12.58951598,8.891962282,61.27863314,59.55539178
226,2008-03-26 01:30:00+07:00,1348.93,1352.95,1345.54,1352.92,237,216.3,1326.658315,3.254847375,12.9605215,9.705674125,62.49616946,59.5373335
227,2008-03-26 02:30:00+07:00,1352.36,1353.87,1350.04,1350.8,153,216.2,1326.641236,2.582964924,12.93438028,10.35141536,61.30668735,59.33901479
228,2008-03-26 23:30:00+07:00,1352.45,1352.45,1340.74,1343.04,237,216.3,1326.546742,1.436841781,12.14746758,10.7106258,57.02806738,59.15011907
229,2008-03-27 00:30:00+07:00,1343.24,1343.24,1336.41,1341.94,235,216.2,1326.610337,0.475306217,11.30475857,10.82945236,56.42689686,59.03650449
230,2008-03-27 01:30:00+07:00,1342.26,1343.66,1339.87,1341.29,228,215.95,1326.677978,-0.292493514,10.46383546,10.75632898,56.05088903,59.40526354
231,2008-03-27 02:30:00+07:00,1341.42,1341.91,1338.2,1338.98,151,215.65,1326.778315,-1.00388472,9.501473077,10.5053578,54.65696366,59.50128226
232,2008-03-27 23:30:00+07:00,1340.34,1345.14,1332.37,1332.41,237,215.55,1326.791685,-1.912203042,8.115103994,10.02730704,50.78831825,59.52774089
233,2008-03-28 00:30:00+07:00,1332.54,1337.38,1329.51,1336.04,235,215.45,1326.542921,-2.241037451,7.226010222,9.467047674,52.77712149,59.65487955
234,2008-03-28 01:30:00+07:00,1335.82,1343.85,1334.74,1343.85,231,215.2,1326.360899,-1.917558914,7.070099031,8.987657945,56.82038009,59.10319861
235,2008-03-28 02:30:00+07:00,1344.52,1345.62,1340.9,1342.17,158,215.25,1326.235618,-1.803439664,6.733358365,8.536798029,55.71529323,58.40111738
236,2008-03-28 23:30:00+07:00,1327.02,1334.87,1327.02,1331.91,239,215.35,1325.953371,-2.369970231,5.574335241,7.944305472,49.3967957,57.20267742
237,2008-03-29 00:30:00+07:00,1331.29,1332.74,1326.35,1329.87,235,215.2,1325.549438,-2.803437609,4.44000846,7.243446069,48.22571831,55.89524993
238,2008-03-29 01:30:00+07:00,1330.34,1332.68,1326.58,1328.94,231,214.9,1325.046629,-3.053553275,3.426504476,6.480057751,47.6708661,55.04562857
239,2008-03-29 02:30:00+07:00,1328.85,1328.92,1324.74,1326.43,158,214.95,1324.404045,-3.269508406,2.393172243,5.662680649,46.12830776,53.96346248
240,2008-04-01 00:30:00+07:00,1315.92,1321.89,1312.81,1316.36,238,215.0,1323.632472,-3.927741319,0.753004001,4.680745319,40.4702786,52.39018456
241,2008-04-01 01:30:00+07:00,1316.25,1322.35,1315.62,1321.95,231,214.9,1323.044944,-3.820342987,-0.094683414,3.725659573,44.53720603,51.19236446
242,2008-04-01 02:30:00+07:00,1321.82,1325.08,1321.7,1323.35,150,210.8,1322.369775,-3.497380498,-0.64606605,2.851314448,45.54067906,50.37183673
243,2008-04-02 00:30:00+07:00,1326.41,1347.64,1326.41,1346.04,238,214.85,1321.941124,-1.6895875,0.739330073,2.428917573,58.61085792,50.52783394
